a	あ
e	え
i	い
o	お
u	う
ba	ば
be	べ
bi	び
bo	ぼ
bu	ぶ	
ci	し
shi	し
da	だ
de	で
di	ぢ
do	ど
du	づ
fa	ふぁ
fe	ふぇ
fi	ふぃ
fo	ふぉ
fu	ふ
ga	が
ge	げ
gi	ぎ
go	ご
gu	ぐ
ha	は
he	へ
hi	ひ
ho	ほ
hu	ふ
ja	じゃ
je	じぇ
ji	じ
jo	じょ
ju	じゅ
ka	か
ke	け
ki	き
ko	こ
ku	く
la	ら
le	れ
li	り
lo	ろ
lu	る
ma	ま
me	め
mi	み
mo	も
mu	む
na	な
ne	ね
ni	に
no	の
nu	ぬ
pa	ぱ
pe	ぺ
pi	ぴ
po	ぽ
pu	ぷ
ra	ら
re	れ
ri	り
ro	ろ
ru	る
sa	さ
se	せ
si	し
so	そ
su	す
ta	た
te	て
ti	ち
to	と
tu	つ
va	ヴぁ
ve	ヴぇ
vi	ヴぃ
vo	ヴぉ
vu	ヴ
wa	わ
we	うぇ
wi	うぃ
wo	を
ya	や
ye	いぇ
yi	い
yo	よ
yu	ゆ
za	ざ
ze	ぜ
zi	じ
zo	ぞ
zu	ず
bya	びゃ
bye	びぇ
byi	びぃ
byo	びょ
byu	びゅ
cha	ちゃ
che	ちぇ
chi	ち
cho	ちょ
chu	ちゅ
cya	ちゃ
cye	ちぇ
cyi	ちぃ
cyo	ちょ
cyu	ちゅ
dha	でゃ
dhe	でぇ
dhi	でぃ
dho	でょ
dhu	でゅ
dwa	どぁ
dwe	どぇ
dwi	どぃ
dwo	どぉ
dwu	どぅ
dya	ぢゃ
dye	ぢぇ
dyi	ぢぃ
dyo	ぢょ
dyu	ぢゅ
dzi	ぢ
fwa	ふぁ
fwe	ふぇ
fwi	ふぃ
fwo	ふぉ
fwu	ふぅ
fya	ふゃ
fye	ふぇ
fyi	ふぃ
fyo	ふょ
fyu	ふゅ
gya	ぎゃ
gye	ぎぇ
gyi	ぎぃ
gyo	ぎょ
gyu	ぎゅ
hya	ひゃ
hye	ひぇ
hyi	ひぃ
hyo	ひょ
hyu	ひゅ
jya	じゃ
jye	じぇ
jyi	じぃ
jyo	じょ
jyu	じゅ
kya	きゃ
kye	きぇ
kyi	きぃ
kyo	きょ
kyu	きゅ
lya	りゃ
lye	りぇ
lyi	りぃ
lyo	りょ
lyu	りゅ
mya	みゃ
mye	みぇ
myi	みぃ
myo	みょ
myu	みゅ
n	ん
nya	にゃ
nye	にぇ
nyi	にぃ
nyo	にょ
nyu	にゅ
pya	ぴゃ
pye	ぴぇ
pyi	ぴぃ
pyo	ぴょ
pyu	ぴゅ
rya	りゃ
rye	りぇ
ryi	りぃ
ryo	りょ
ryu	りゅ
sha	しゃ
she	しぇ
shi	し
sho	しょ
shu	しゅ
swa	すぁ
swe	すぇ
swi	すぃ
swo	すぉ
swu	すぅ
sya	しゃ
sye	しぇ
syi	しぃ
syo	しょ
syu	しゅ
tha	てゃ
the	てぇ
thi	てぃ
tho	てょ
thu	てゅ
tsa	つゃ
tse	つぇ
tsi	つぃ
tso	つょ
tsu	つ
twa	とぁ
twe	とぇ
twi	とぃ
two	とぉ
twu	とぅ
tya	ちゃ
tye	ちぇ
tyi	ちぃ
tyo	ちょ
tyu	ちゅ
vya	ヴゃ
vye	ヴぇ
vyi	ヴぃ
vyo	ヴょ
vyu	ヴゅ
wha	うぁ
whe	うぇ
whi	うぃ
who	うぉ
whu	うぅ
wye	ゑ
wyi	ゐ
zha	じゃ
zhe	じぇ
zhi	じぃ
zho	じょ
zhu	じゅ
zya	じゃ
zye	じぇ
zyi	じぃ
zyo	じょ
zyu	じゅ
